##########################################################################################
### CosmicWatch: The Desktop Muon Detector
### Questions? saxani@mit.edu
### Comp_date Comp_time Event Ardn_time[ms] ADC[0-1023] SiPM[mV] Deadtime[ms] Temp[C] Name
##########################################################################################
M
1 1557 56 16.76 108 27.77
2 1567 76 19.69 112 27.67
3 1575 57 16.93 116 27.88
4 1598 71 19.06 120 27.88
5 1607 152 26.78 127 27.67
6 1648 67 18.51 155 27.88
7 1736 92 21.32 169 27.88
8 1814 56 16.76 174 27.99
9 1846 131 24.54 178 27.88
10 1859 76 19.69 183 27.88
11 1878 102 22.15 187 27.67
12 1911 71 19.06 192 27.67
13 1918 120 23.58 196 27.88
14 1934 102 22.15 209 27.88
15 1966 120 23.58 236 27.88
16 1992 56 16.76 262 27.88
17 2044 81 20.25 302 27.67
18 2051 88 20.96 308 28.20
19 2080 57 16.93 336 27.77
20 2109 211 35.96 364 27.77
21 2140 83 20.46 393 27.67
22 2168 79 20.03 421 27.88
23 2200 179 30.55 450 27.77
24 2227 140 25.42 476 27.99
25 2258 83 20.46 505 27.88
26 2286 127 24.18 533 27.99
27 2318 71 19.06 562 27.77
28 2346 57 16.93 589 27.67
29 2375 51 15.86 617 27.88
30 2405 71 19.06 645 27.67
31 2438 252 43.42 674 27.67
32 2463 78 19.92 699 27.77
33 2495 79 20.03 730 27.67
34 2525 65 18.22 759 27.67
35 2556 49 15.48 788 27.99
36 2581 56 16.76 812 27.67
37 2611 62 17.75 839 27.67
38 2637 56 16.76 865 27.67
39 2669 167 28.76 895 27.77
40 2700 295 51.75 925 27.67
41 2732 76 19.69 955 27.77
42 2763 216 36.85 986 27.88
43 2795 327 59.28 1016 27.67
44 2824 51 15.86 1043 27.67
45 2852 220 37.58 1069 27.88
46 2883 192 32.67 1099 27.77
47 2916 99 21.91 1131 27.77
48 2942 96 21.67 1155 27.88
49 2989 99 21.91 1202 27.67
50 3042 121 23.66 1244 27.88
51 3060 96 21.67 1261 27.88
52 3085 71 19.06 1285 27.67
53 3095 103 22.23 1294 27.67
54 3154 248 42.69 1351 28.10
55 3165 225 38.48 1362 27.88
56 3197 192 32.67 1392 27.67
57 3218 71 19.06 1413 27.88
58 3252 71 19.06 1447 27.88
59 3294 220 37.58 1488 27.99
60 3331 56 16.76 1523 27.77
61 3361 167 28.76 1553 27.77
62 3391 76 19.69 1581 27.67
63 3415 199 33.86 1603 27.99
64 3451 78 19.92 1638 27.88
65 3481 99 21.91 1667 27.88
66 3501 62 17.75 1685 27.77
67 3528 51 15.86 1712 27.99
68 3569 56 16.76 1752 27.99
69 3590 51 15.86 1771 27.88
70 3618 60 17.43 1799 27.67
71 3661 69 18.79 1841 27.88
72 3680 56 16.76 1858 27.88
73 3722 78 19.92 1899 28.10
74 3750 185 31.51 1926 27.77
75 3809 124 23.92 1984 28.10
76 3827 121 23.66 2001 27.77
77 3847 120 23.58 2020 27.99
78 3899 352 66.89 2071 27.99
79 3907 51 15.86 2078 27.67
80 3938 271 46.93 2107 27.88
81 3955 63 17.91 2123 27.99
82 3981 71 19.06 2149 27.88
83 4036 147 26.19 2237 27.88
84 4053 56 16.76 2252 27.77
85 4073 225 38.48 2271 27.67
86 4115 199 33.86 2312 27.67
87 4138 71 19.06 2333 28.10
88 4193 225 38.48 2388 27.67
89 4213 50 15.67 2408 27.77
90 4257 62 17.75 2450 27.99
91 4266 348 65.64 2458 27.77
92 4289 63 17.91 2481 27.99
93 4367 67 18.51 2558 27.88
94 4384 88 20.96 2574 27.99
95 4401 63 17.91 2589 27.88
96 4411 73 19.32 2598 27.67
97 4467 163 28.20 2654 27.67
98 4475 240 41.21 2660 27.77
99 4504 56 16.76 2689 27.88
100 4571 103 22.23 2755 27.77
101 4586 92 21.32 2768 27.88
102 4594 49 15.48 2776 28.10
103 4631 195 33.17 2811 27.88
104 4660 319 57.64 2839 27.99
105 4706 96 21.67 2885 27.88
106 4723 70 18.93 2900 27.99
107 4764 99 21.91 2940 27.67
108 4797 112 22.94 2972 27.67
109 4844 281 48.90 3018 27.67
110 4863 79 20.03 3035 27.88
111 4889 217 37.04 3060 27.99
112 4924 291 50.97 3094 27.77
113 4946 52 16.04 3114 27.88
114 4983 63 17.91 3147 28.10
115 5035 60 17.43 3233 27.77
116 5041 71 19.06 3238 28.20
117 5082 62 17.75 3278 28.10
118 5114 224 38.29 3309 27.88
119 5138 152 26.78 3333 27.99
120 5169 60 17.43 3362 27.67
121 5201 51 15.86 3393 27.99
122 5253 70 18.93 3444 27.99
123 5268 127 24.18 3459 27.67
124 5295 65 18.22 3485 27.88
125 5324 71 19.06 3513 27.67
126 5379 103 22.23 3566 27.99
127 5389 240 41.21 3574 28.20
128 5430 209 35.61 3614 28.10
129 5457 135 24.92 3639 27.88
130 5490 195 33.17 3672 27.99
131 5515 241 41.39 3697 27.99
132 5555 211 35.96 3735 28.10
133 5591 56 16.76 3770 27.88
134 5628 152 26.78 3804 27.88
135 5656 103 22.23 3832 27.67
136 5718 62 17.75 3892 28.10
137 5747 204 34.73 3921 27.77
138 5765 185 31.51 3938 27.67
139 5836 56 16.76 4008 27.67
140 5856 113 23.02 4026 27.67
141 5901 115 23.18 4070 27.88
142 5916 184 31.36 4084 27.77
143 5924 51 15.86 4091 27.67
144 5945 51 15.86 4111 27.77
145 5967 103 22.23 4132 27.88
146 6048 57 16.93 4248 27.77
147 6066 127 24.18 4263 27.67
148 6082 159 27.66 4278 27.99
149 6099 83 20.46 4293 27.88
150 6125 96 21.67 4319 27.67
151 6160 115 23.18 4353 27.77
152 6202 97 21.75 4393 27.99
153 6227 79 20.03 4417 28.10
154 6266 96 21.67 4455 27.67
155 6304 67 18.51 4492 27.99
156 6316 121 23.66 4502 27.67
157 6365 225 38.48 4548 27.99
158 6430 96 21.67 4612 27.77
159 6442 79 20.03 4622 27.99
160 6452 63 17.91 4631 27.99
161 6473 57 16.93 4651 27.88
